filename,tile,domain,year,I0,J0,I1,J1,lat_sw,lon_sw,lat_se,lon_se,lat_nw,lon_nw,lat_ne,lon_ne,url
wrfout_d02_1303_2019.nc,1303,d02,2019,132,32,141,41,48.84390004,-127.84280143,48.87185001,-127.30962375,49.19357490,-127.90540125,49.22814941,-127.36004830,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1303/wrfout_d02_1303_2019.nc
wrfout_d02_1304_2019.nc,1304,d02,2019,132,42,141,51,49.19357490,-127.90540125,49.22814941,-127.36004830,49.54979992,-127.96084977,49.58467484,-127.41124915,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1304/wrfout_d02_1304_2019.nc
wrfout_d02_1305_2019.nc,1305,d02,2019,132,52,141,61,49.54979992,-127.96084977,49.58467484,-127.41124915,49.90617466,-128.01722527,49.94132423,-127.46327398,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1305/wrfout_d02_1305_2019.nc
wrfout_d02_1306_2019.nc,1306,d02,2019,132,62,141,71,49.90617466,-128.01722527,49.94132423,-127.46327398,50.26270008,-128.07447625,50.29817581,-127.51614950,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1306/wrfout_d02_1306_2019.nc
wrfout_d02_1307_2019.nc,1307,d02,2019,132,72,141,81,50.26270008,-128.07447625,50.29817581,-127.51614950,50.61935043,-128.13262558,50.65515041,-127.56987573,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1307/wrfout_d02_1307_2019.nc
wrfout_d02_1308_2019.nc,1308,d02,2019,132,82,141,91,50.61935043,-128.13262558,50.65515041,-127.56987573,50.97625065,-128.19174958,51.01227569,-127.62445070,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1308/wrfout_d02_1308_2019.nc
wrfout_d02_1309_2019.nc,1309,d02,2019,132,92,141,101,50.97625065,-128.19174958,51.01227569,-127.62445070,51.33317471,-128.25185013,51.36955071,-127.67992592,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1309/wrfout_d02_1309_2019.nc
wrfout_d02_1310_2019.nc,1310,d02,2019,132,102,141,111,51.33317471,-128.25185013,51.36955071,-127.67992592,51.69020081,-128.31292723,51.72690010,-127.73632622,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1310/wrfout_d02_1310_2019.nc
wrfout_d02_1311_2019.nc,1311,d02,2019,132,112,141,121,51.69020081,-128.31292723,51.72690010,-127.73632622,52.04737472,-128.37499998,52.08437443,-127.79364970,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1311/wrfout_d02_1311_2019.nc
wrfout_d02_1312_2019.nc,1312,d02,2019,132,122,141,131,52.04737472,-128.37499998,52.08437443,-127.79364970,52.40460014,-128.43814850,52.44192505,-127.85194970,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1312/wrfout_d02_1312_2019.nc
wrfout_d02_1313_2019.nc,1313,d02,2019,132,132,141,141,52.40460014,-128.43814850,52.44192505,-127.85194970,52.76192570,-128.50237275,52.79955005,-127.91125105,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1313/wrfout_d02_1313_2019.nc
wrfout_d02_1314_2019.nc,1314,d02,2019,132,142,141,151,52.76192570,-128.50237275,52.79955005,-127.91125105,53.11925030,-128.56767272,53.15722561,-127.97157477,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1314/wrfout_d02_1314_2019.nc
wrfout_d02_1315_2019.nc,1315,d02,2019,132,152,141,161,53.11925030,-128.56767272,53.15722561,-127.97157477,53.47662449,-128.63407515,53.51494980,-128.03294755,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1315/wrfout_d02_1315_2019.nc
wrfout_d02_1316_2019.nc,1316,d02,2019,132,162,141,171,53.47662449,-128.63407515,53.51494980,-128.03294755,53.83407402,-128.70164870,53.87274933,-128.09537125,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1316/wrfout_d02_1316_2019.nc
wrfout_d02_1317_2019.nc,1317,d02,2019,132,172,141,181,53.83407402,-128.70164870,53.87274933,-128.09537125,54.19149971,-128.77040103,54.23052501,-128.15887450,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1317/wrfout_d02_1317_2019.nc
wrfout_d02_1318_2019.nc,1318,d02,2019,132,182,141,191,54.19149971,-128.77040103,54.23052501,-128.15887450,54.54892444,-128.84037782,54.58829880,-128.22349930,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1318/wrfout_d02_1318_2019.nc
wrfout_d02_1319_2019.nc,1319,d02,2019,132,192,141,201,54.54892444,-128.84037782,54.58829880,-128.22349930,54.90632439,-128.91162490,54.94604874,-128.28927232,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1319/wrfout_d02_1319_2019.nc
