filename,tile,domain,year,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url,,,,,,,
wrfout_d02_0427_2019.nc,427,d02,2019,42,272,51,281,57.27920151,-134.8442993,56.89690018,-135.3072968,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0427/wrfout_d02_0427_2019.nc,,,,,,,
wrfout_d02_0428_2019.nc,428,d02,2019,42,282,51,291,57.63140106,-134.9777069,57.24869919,-135.4436951,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0428/wrfout_d02_0428_2019.nc,,,,,,,
wrfout_d02_0429_2019.nc,429,d02,2019,42,292,51,301,57.98339844,-135.1136017,57.60029984,-135.5825958,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0429/wrfout_d02_0429_2019.nc,,,,,,,
wrfout_d02_0430_2019.nc,430,d02,2019,42,302,51,311,58.33520126,-135.2521973,57.9516983,-135.7241974,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0430/wrfout_d02_0430_2019.nc,,,,,,,
wrfout_d02_0431_2019.nc,431,d02,2019,42,312,51,321,58.68669891,-135.3934021,58.30279922,-135.8684998,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0431/wrfout_d02_0431_2019.nc,,,,,,,
wrfout_d02_0432_2019.nc,432,d02,2019,42,322,51,331,59.03789902,-135.5373993,58.65370178,-136.0155945,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0432/wrfout_d02_0432_2019.nc,,,,,,,
wrfout_d02_0433_2019.nc,433,d02,2019,42,332,51,341,59.38880157,-135.6842957,59.00419998,-136.1654968,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0433/wrfout_d02_0433_2019.nc,,,,,,,
wrfout_d02_0434_2019.nc,434,d02,2019,42,342,51,351,59.73929977,-135.8341064,59.35440063,-136.3184052,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0434/wrfout_d02_0434_2019.nc,,,,,,,
wrfout_d02_0435_2019.nc,435,d02,2019,42,352,51,361,60.08950043,-135.9868927,59.70429993,-136.4743958,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0435/wrfout_d02_0435_2019.nc,,,,,,,
wrfout_d02_0436_2019.nc,436,d02,2019,42,362,51,371,60.43939972,-136.142807,60.05379868,-136.6334076,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0436/wrfout_d02_0436_2019.nc,,,,,,,
wrfout_d02_0437_2019.nc,437,d02,2019,42,372,51,373,60.50930023,-136.1743011,60.4029007,-136.7957001,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0437/wrfout_d02_0437_2019.nc,,,,,,,
wrfout_d02_0509_2019.nc,509,d02,2019,52,92,61,101,50.97729874,-132.2465057,50.60549927,-132.6658936,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0509/wrfout_d02_0509_2019.nc,,,,,,,
wrfout_d02_0510_2019.nc,510,d02,2019,52,102,61,111,51.33140182,-132.3395996,50.95909882,-132.7617035,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0510/wrfout_d02_0510_2019.nc,,,,,,,
wrfout_d02_0511_2019.nc,511,d02,2019,52,112,61,121,51.68560028,-132.4342957,51.31280136,-132.8589935,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0511/wrfout_d02_0511_2019.nc,,,,,,,
wrfout_d02_0512_2019.nc,512,d02,2019,52,122,61,131,52.03990173,-132.5305023,51.66659927,-132.9577942,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0512/wrfout_d02_0512_2019.nc,,,,,,,
wrfout_d02_0513_2019.nc,513,d02,2019,52,132,61,141,52.39419937,-132.6284027,52.020401,-133.0583954,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0513/wrfout_d02_0513_2019.nc,,,,,,,
